Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;73,0983;17500,5459;68502
2;23,6968;22578,3727;68502
3;20,6899;20251,0597;68502
4;14,6905;21522,79;68502
5;21,567;18568,873;68502
6;13,9128;13360,6238;68502
7;21,3611;12401,9543;68502
8;22,0996;14802,9525;68502
9;14,6553;17098,4732;68502
10;15,464;21391,7976;68502
11;21,6183;23530,8608;68502
12;14,742;14529,6289;68502
13;20,3445;16076,628;68478
14;16,66;15216,5015;68502
15;13,7014;23611,5477;68502
16;13,9941;18111,0557;68502
17;14,6617;22080,9005;68490
18;20,9643;12841,4987;68502
19;16,1268;12732,869;68478
20;16,6808;12311,104;68502
21;17,8503;23645,74;68478
22;15,1248;17889,7493;68502
23;21,7046;14711,2921;68490
24;14,2351;17850,8815;68502
25;14,0039;13786,664;68502
26;15,5761;19838,4674;68502
27;14,8213;21221,8032;68502
28;18,9815;19647,0031;68502
29;20,8809;15744,9901;68502
30;20,3327;19851,8099;68502
31;21,7643;18852,8235;68502
32;21,8527;15878,5164;68502
33;21,1106;12412,1085;68502
34;14,474;12633,7733;68502
35;14,44;16714,5072;68502
36;24,1164;19892,7496;68502
37;20,8443;21451,8342;68502
38;21,0827;19455,107;68502
39;15,2997;14962,934;68502
40;21,8464;14714,5467;68454
41;13,5984;15023,5696;68502
42;22,2276;19741,9485;68502
43;20,9994;17093,0179;68502
44;21,9652;16018,3593;68478
45;15,3886;20646,593;68502
46;25,087;22786,6103;68490
47;15,2283;22404,8252;68502
48;13,8774;23297,8397;68502
49;17,0994;23661,0784;68502
50;14,2424;17591,3483;68502
;19,215704;17998,85057;68498,4
;8,438919744;3520,245057;9,372299611
