Iteration;Step;Non-Finality Latency;Step;Finality Latency;Step;Gas Cost;Step
;1;;34.5984000004828;;20544.230899998918;;68502
;2;;34.941999999806285;;15234.931099999696;;68466
;3;;66.9372999984771;;12835.746499998495;;68502
;4;;30.913100000470877;;18636.551099998876;;68502
;5;;28.569900000467896;;14213.120200000703;;68502
;6;;26.755599999800324;;13012.470399999991;;68502
;7;;33.94219999946654;;14786.120600001886;;68478
;8;;44.63269999995828;;18146.28519999981;;68478
1;;301.2911999989301;;127409.45599999838;;547932;
;1;;47.09569999948144;;16702.760299999267;;68502
;2;;41.594900000840425;;23475.657800002024;;68502
;3;;54.61259999871254;;16177.920599998906;;68490
;4;;52.20219999924302;;12186.781999999657;;68466
;5;;47.636500000953674;;14982.575300000608;;68478
;6;;43.02379999868572;;18429.624999998137;;68502
;7;;111.19309999980032;;18899.424500001594;;68502
;8;;51.43379999883473;;14241.061100000516;;68502
2;;448.79259999655187;;135095.8066000007;;547944;
;1;;57.78189999982715;;15389.683799998835;;68502
;2;;59.781600000336766;;23276.748600000516;;68502
;3;;59.218399999663234;;14362.184399999678;;68502
;4;;126.69019999913871;;14538.524199999869;;68502
;5;;58.08880000002682;;17539.903300000355;;68502
;6;;61.14790000021458;;17721.875100001693;;68502
;7;;65.63020000047982;;13642.010399999097;;68502
;8;;66.65970000065863;;22535.667299998924;;68502
3;;554.9987000003457;;139006.59709999897;;548016;
;1;;78.34759999997914;;14683.404699997976;;68502
;2;;88.06359999999404;;20098.10639999807;;68478
;3;;87.73179999925196;;15518.811200000346;;68490
;4;;72.06469999998808;;22950.42310000211;;68490
;5;;86.64960000105202;;22574.822599999607;;68502
;6;;82.31039999984205;;14073.71199999936;;68478
;7;;79.83049999922514;;15116.810499999672;;68478
;8;;86.8234999999404;;23005.857499998063;;68502
4;;661.8216999992728;;148021.9479999952;;547920;
;1;;87.388900000602;;21081.92719999887;;68502
;2;;100.86079999990761;;18752.194999998435;;68502
;3;;87.64970000088215;;21211.255800001323;;68502
;4;;88.16079999879003;;12172.225700000301;;68502
;5;;147.30880000069737;;11924.710000000894;;68502
;6;;89.43349999934435;;22364.02730000019;;68478
;7;;106.60910000093281;;22295.94399999827;;68502
;8;;119.43469999916852;;17227.6763000004;;68502
5;;826.8463000003248;;147029.9612999987;;547992;
;1;;106.68410000018775;;22314.173499999568;;68502
;2;;119.12509999983013;;17626.63139999844;;68502
;3;;106.56760000064969;;20996.375800000504;;68502
;4;;107.25140000134706;;20121.87180000171;;68502
;5;;110.04820000007749;;22704.957900000736;;68502
;6;;163.10400000028312;;12191.413899999112;;68502
;7;;133.41039999946952;;19379.69280000031;;68502
;8;;162.02730000019073;;12951.299899999052;;68490
6;;1008.2181000020355;;148286.41699999943;;548004;
;1;;131.03409999981523;;16493.17149999924;;68502
;2;;126.28089999966323;;17678.014300001785;;68502
;3;;122.90589999966323;;14130.93529999815;;68478
;4;;135.31960000097752;;12497.883300000802;;68502
;5;;118.23389999940991;;16584.105699999258;;68490
;6;;126.2998000010848;;15372.52999999933;;68502
;7;;165.40219999849796;;21402.784099999815;;68502
;8;;148.01690000109375;;18916.96509999968;;68502
7;;1073.4933000002056;;133076.38929999806;;547980;
;1;;138.13900000043213;;20075.436400000006;;68502
;2;;139.25999999977648;;20637.14189999923;;68502
;3;;230.89819999970496;;14119.245000001043;;68502
;4;;146.98330000042915;;17118.935799999163;;68490
;5;;137.8234999999404;;16214.518799999729;;68502
;6;;145.06430000066757;;18607.91379999928;;68502
;7;;141.7639999985695;;12743.319600000978;;68502
;8;;208.63339999876916;;19035.23429999873;;68502
8;;1288.5656999982893;;138551.74559999816;;548004;
;1;;158.0417999997735;;18802.787299999967;;68502
;2;;169.85169999860227;;19482.585999999195;;68502
;3;;175.10029999911785;;18175.033600000665;;68502
;4;;161.99139999970794;;19737.80460000038;;68502
;5;;157.1127999983728;;16981.240900000557;;68502
;6;;156.81989999860525;;21488.812199998647;;68478
;7;;173.15919999964535;;21232.86680000089;;68502
;8;;233.07230000011623;;17656.52410000004;;68502
9;;1385.1493999939412;;153557.65550000034;;547992;
;1;;192.59820000082254;;12428.067599998787;;68502
;2;;169.729699999094;;20755.620899999514;;68502
;3;;220.65320000052452;;23345.51610000059;;68478
;4;;184.80839999951422;;14176.512599999085;;68502
;5;;177.3640000000596;;12754.449099998921;;68502
;6;;171.26439999975264;;17710.959800001234;;68502
;7;;241.45990000106394;;22767.193800000474;;68502
;8;;215.59010000154376;;20370.18269999884;;68502
10;;1573.4679000023752;;144308.50259999745;;547992;
