Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;264,135;22838,475;68502
2;344,9015;15278,5857;68502
3;347,0294;21216,2426;68502
4;352,7062;20146,6453;68502
5;309,6611;14893,3995;68502
6;340,6911;15764,8418;68502
7;353,0065;20308,938;68502
8;348,5665;18837,663;68502
9;368,5103;19387,9616;68502
10;301,3839;13353,0004;68502
11;319,8285;17872,7037;68502
12;261,4482;17427,0383;68502
13;343,8657;16757,9101;68502
14;339,3409;18819,7861;68478
15;304,3602;22929,2153;68502
16;345,6747;12796,2189;68502
17;256,7554;19500,0853;68502
18;331,303;18846,5788;68502
19;303,7676;13575,2483;68502
20;293,6316;16849,6152;68502
21;400,8981;19841,7341;68478
22;341,3087;15406,1209;68502
23;325,4085;12659,7552;68490
24;309,0687;22641,8153;68502
25;298,1887;12376,7113;68502
26;365,3628;20580,9615;68490
27;340,3119;12554,6036;68490
28;296,3869;14298,6401;68502
29;326,3002;22860,8883;68502
30;323,9457;19154,9661;68478
31;340,5749;22641,0719;68502
32;364,6185;19519,6714;68502
33;312,1085;12029,3372;68502
34;337,7042;13699,9288;68502
35;349,1586;22648,3219;68502
36;327,706;23902,6471;68502
37;318,0181;17671,8626;68502
38;345,2296;21420,9474;68502
39;346,5226;22614,088;68502
40;348,8856;18481,3205;68502
41;312,5071;13160,3045;68502
42;413,1591;14566,3122;68478
43;330,8256;18499,0922;68478
44;359,1631;22785,4939;68490
45;302,8309;12572,8182;68502
46;344,2842;18607,1537;68502
47;248,7974;21364,1473;68502
48;373,5457;12113,6698;68502
49;369,1496;21918,6259;68502
50;332,3557;19324,4088;68502
;330,69785;17986,35145;68498,64
;32,7661557;3615,461157;7,604630169
