Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;38.32549999654293;20899.37619999796;136992
2;19.390600003302097;19748.745199993253;137004
3;16.77539999783039;13387.333099998534;137004
4;23.006400004029274;19829.824099995196;137004
5;15.956999994814396;22478.061199992895;137004
6;15.030100002884865;17567.387800000608;137004
7;22.905000001192093;23485.753199994564;136992
8;18.00280000269413;22315.126699998975;137004
9;17.507600001990795;12188.640600003302;137004
10;13.965299993753433;18579.875899992883;137004
11;15.887800000607967;19192.493000008166;137004
12;16.51179999858141;18928.069099999964;137004
13;16.53540000319481;14437.569600000978;137004
14;13.360799998044968;20165.566799998283;137004
15;33.92409999668598;13492.686700001359;136944
16;15.53269999474287;22770.5333000049;137004
17;20.18530000001192;15980.855400003493;137004
18;16.468899995088577;16921.1705000028;137004
19;19.140500001609325;18111.243799999356;137004
20;21.881999999284744;12057.643600001931;137004
21;22.710699997842312;14406.342700004578;137004
22;17.070800006389618;20594.04699999839;137004
23;23.07440000027418;15406.79960000515;137004
24;16.311799995601177;13604.791900001466;137004
25;17.551399998366833;22308.52010000497;137004
26;15.956799998879433;12220.306999996305;137004
27;16.029100000858307;22066.60830000043;137004
28;15.097199998795986;19653.47839999944;137004
29;16.451899997889996;15852.556799992919;137004
30;16.5287000015378;14443.626900009811;137004
31;23.439900003373623;17586.536100000143;137004
32;22.179000005126;15708.471900001168;137004
33;23.34679999947548;21556.88220000267;137004
34;13.729200005531311;15480.00759999454;137004
35;16.982700005173683;22040.894799999893;136944
36;25.224899999797344;12950.910000003874;137004
37;18.032800003886223;14526.720799997449;137004
38;15.228200003504753;18704.16330000013;136992
39;16.902399994432926;12424.004299998283;137004
40;14.634700000286102;20610.42049999535;137004
41;20.80800000578165;15955.970200002193;137004
42;16.885999999940395;23002.725600004196;136992
43;17.634700000286102;13953.1352000013;136944
44;16.439300000667572;20521.229400001466;137004
45;25.298000000417233;14959.536499999464;137004
46;18.05510000139475;16308.370700001717;136944
47;16.913699999451637;13349.577899992466;137004
48;15.581399999558926;13344.757100000978;137004
49;15.73200000077486;19774.395299993455;137004
50;14.486099995672703;16819.627199999988;137004
