Iteration;Step;Non-Finality Latency;Step;Finality Latency;Step;Gas Cost;Step
;1;;86.28229999542236;;18459.357400000095;;136992
;2;;83.34860000014305;;13708.285900000017;;137004
;3;;88.65679999440908;;23768.264300000155;;136944
;4;;85.74639999866486;;17196.571300000185;;137004
;5;;87.9565000012517;;16271.553300000029;;137004
;6;;159.40730000287294;;21496.607199999737;;137004
;7;;91.15720000118017;;12445.839000000153;;137004
;8;;156.50270000100136;;13671.981599999825;;137004
;9;;79.36700000613928;;16546.552399999928;;137004
1;;918.4248000010848;;153565.01240000012;;1232964;
;1;;85.17109999805689;;20861.73129999987;;137004
;2;;127.04699999839067;;20233.91969999997;;137004
;3;;123.79870000481606;;15860.344000000041;;137004
;4;;105.42410000413656;;15815.369199999841;;137004
;5;;177.20589999854565;;21647.577400000067;;137004
;6;;150.39670000225306;;13026.992499999935;;136992
;7;;164.97839999943972;;19118.18889999995;;137004
;8;;157.6511000022292;;19595.178000000073;;137004
;9;;99.52499999850988;;20946.87139999983;;136992
2;;1191.1980000063777;;167106.17239999957;;1233012;
;1;;110.02019999921322;;18715.99040000001;;137004
;2;;148.22640000283718;;19599.1418000001;;137004
;3;;105.67200000584126;;17748.47070000018;;137004
;4;;107.0718000009656;;14308.46800000011;;137004
;5;;203.55770000070333;;14414.72629999998;;137004
;6;;178.87139999866486;;18134.430199999828;;136944
;7;;117.18069999665022;;22838.043499999912;;137004
;8;;118.52650000154972;;18608.83930000011;;137004
;9;;109.34239999949932;;12926.843100000173;;137004
3;;1198.4691000059247;;157294.9533000004;;1232976;
;1;;119.71909999847412;;14610.89410000015;;137004
;2;;112.36270000040531;;15801.327700000023;;137004
;3;;118.71310000121593;;18804.147200000007;;137004
;4;;227.77089999616146;;13549.923100000247;;137004
;5;;129.2893000021577;;15612.935300000012;;137004
;6;;153.2225000038743;;21694.548900000285;;137004
;7;;131.37489999830723;;17577.656400000677;;137004
;8;;129.42349999397993;;23433.813599999994;;137004
;9;;127.39629999548197;;22359.783900000155;;137004
4;;1249.272299990058;;163445.03020000155;;1233036;
;1;;127.45289999991655;;13213.759899999946;;137004
;2;;145.81870000064373;;14690.240199999884;;137004
;3;;129.4582000002265;;18022.075100000482;;137004
;4;;176.38859999924898;;13557.439699999988;;137004
;5;;227.33930000662804;;21196.205699999817;;137004
;6;;152.00589999556541;;18972.145400000736;;137004
;7;;213.44500000029802;;14665.209099999629;;137004
;8;;182.86019999533892;;19897.283199999947;;137004
;9;;174.25770000368357;;22395.669699999504;;136944
5;;1529.0265000015497;;156610.02799999993;;1232976;
;1;;245.84219999611378;;21796.864999999758;;136992
;2;;172.9302999973297;;18775.711499999277;;136884
;3;;175.8192999958992;;20390.414200000465;;137004
;4;;220.05590000003576;;18226.222999999765;;136944
;5;;156.14420000463724;;12180.971700000111;;137004
;6;;302.2478000000119;;17795.9188000001;;137004
;7;;166.15189999341965;;17575.946700000204;;137004
;8;;223.10969999432564;;16686.345199999865;;137004
;9;;243.52699999511242;;23288.63469999982;;137004
6;;1905.8282999768853;;166717.03079999937;;1232844;
;1;;178.63149999827147;;20377.633799999952;;137004
;2;;180.3518000021577;;19951.697399999946;;137004
;3;;199.68090000003576;;18282.334299999755;;137004
;4;;199.0582000017166;;13071.022899999749;;137004
;5;;221.32749999314547;;17631.177200000267;;137004
;6;;233.58129999786615;;12552.272899999749;;136992
;7;;168.14829999953508;;21080.528900000267;;137004
;8;;292.1152999997139;;13091.000599999912;;137004
;9;;168.5311999991536;;14042.230200000107;;137004
7;;1841.4259999915957;;150079.8981999997;;1233024;
;1;;197.78100000321865;;16697.771899999585;;137004
;2;;180.6854000017047;;15039.85049999971;;136992
;3;;182.652800001204;;15811.221599999815;;137004
;4;;174.32339999824762;;15850.717399999965;;137004
;5;;278.6783000007272;;16610.300099999644;;136944
;6;;195.1203000023961;;12146.81910000043;;137004
;7;;269.86969999969006;;21539.436900000088;;136932
;8;;191.9717000052333;;16246.119399999734;;136944
;9;;339.6638000011444;;23326.10840000026;;136944
8;;2010.746400013566;;153268.34529999923;;1232772;
;1;;183.6262999996543;;16646.22259999998;;137004
;2;;227.5113000050187;;17945.219400000293;;136944
;3;;217.2563000023365;;13299.731300000101;;137004
;4;;223.75010000169277;;19849.257300000172;;137004
;5;;279.9145999997854;;13906.205199999735;;136944
;6;;354.42329999804497;;12454.178299999796;;137004
;7;;238.44570000469685;;12125.110400000121;;137004
;8;;352.9082999974489;;22748.007000000216;;137004
;9;;334.33720000088215;;12697.318299999926;;137004
9;;2412.1731000095606;;141671.24980000034;;1232916;
;1;;215.9054999947548;;15105.034199999645;;136944
;2;;224.16820000112057;;12725.093200000003;;137004
;3;;208.86309999972582;;14781.844099999871;;137004
;4;;232.33309999853373;;23557.363499999512;;137004
;5;;226.81480000168085;;12533.868900000118;;136944
;6;;393.9462999999523;;12818.401800000109;;137004
;7;;296.5811000019312;;22260.76609999966;;137004
;8;;287.9088000059128;;21203.26780000003;;137004
;9;;212.3091000020504;;16745.449799999595;;137004
10;;2298.8300000056624;;151731.08939999854;;1232916;
