Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;28.153899997472763;16631.842500001192;137004
2;52.58730000257492;18919.9776000008;137004
3;22.78939999639988;14239.002100005746;137004
4;21.636100001633167;19042.293299995363;137004
5;25.504700005054474;23154.36660000682;137004
6;21.915199995040894;22906.677000001073;137004
7;28.160599999129772;12864.77840000391;137004
8;26.98149999976158;19032.837999999523;137004
9;26.752599999308586;23220.120200000703;136944
10;22.222999997437;22810.38599999994;137004
11;20.276799999177456;23374.504299998283;137004
12;20.50400000065565;13183.468899995089;137004
13;25.04160000383854;19426.989699997008;137004
14;20.06300000101328;20541.982700005174;136944
15;21.964199997484684;12386.294500000775;137004
16;24.29569999873638;15333.146399997175;137004
17;20.01909999549389;12696.52570001036;137004
18;18.785199999809265;21324.556599996984;137004
19;19.31870000064373;23043.274399995804;137004
20;23.453599996864796;22931.812400005758;136944
21;17.85980000346899;19607.573599994183;137004
22;20.153499998152256;14082.695000000298;137004
23;17.84170000255108;13690.020300000906;136944
24;18.45829999446869;16448.110300004482;137004
