Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;36.24220000207424;15736.743700001389;136884
2;16.86770000308752;16901.38649999723;137004
3;20.97529999911785;12088.254799999297;137004
4;14.960700001567602;23050.664299998432;137004
5;15.325300000607967;12996.65150000155;137004
6;13.556400001049042;13244.797799997032;137004
7;15.009099997580051;22941.88810000196;136944
8;23.95109999924898;19911.38069999963;136992
9;14.237300001084805;12765.836600001901;137004
10;13.673500001430511;14627.552300002426;137004
11;16.315199997276068;13065.871500000358;137004
12;14.247900001704693;18152.229400001466;137004
13;14.971400000154972;12852.946600001305;136944
14;21.540899999439716;22162.3227000013;136992
15;15.625999998301268;12819.960400000215;136944
16;23.49210000038147;15318.663300003856;136944
17;14.814800001680851;20421.140600003302;137004
18;14.452500000596046;22186.307699996978;137004
19;25.359099999070168;23965.57140000537;137004
20;22.425900001078844;20719.442499998957;137004
21;23.170299999415874;17604.74909999594;137004
22;16.88520000129938;13750.288199998438;137004
23;14.337999999523163;21819.67550000176;137004
24;23.045700002461672;16953.829600002617;137004
25;15.76130000129342;19058.246100001037;137004
26;15.027999997138977;16384.668299999088;137004
27;23.981199998408556;17881.93239999935;136932
28;15.042899999767542;14100.468299999833;137004
29;15.35130000114441;12591.714700002223;136944
30;14.957100000232458;21921.95169999823;136992
31;21.87110000103712;18388.738900002092;136944
32;15.011199999600649;20887.681599996984;137004
33;14.561299998313189;16580.857499998063;137004
34;15.213199999183416;15759.882999997586;137004
35;21.43180000036955;22855.06369999796;137004
36;14.501500003039837;13092.89680000022;137004
37;22.038400001823902;15632.166499994695;136944
38;22.38399999961257;16962.339800003916;136932
39;14.834600001573563;23375.090600002557;137004
40;13.655799999833107;21321.989499997348;136944
41;22.081400003284216;14391.756799999624;137004
42;17.846700001507998;16231.311700001359;137004
43;15.111800000071526;22115.491399999708;137004
44;16.97690000012517;16248.910900000483;137004
45;14.232799999415874;22727.344299998134;137004
46;22.13239999860525;17877.35969999805;136992
47;15.806800000369549;16154.47899999842;136944
48;27.61939999833703;12321.552799999714;137004
49;23.012000001966953;18156.664999999106;137004
50;24.801100000739098;21326.16199999675;137004
