Iteration;Step;Non-Finality Latency;Step;Finality Latency;Step;Gas Cost;Step
;1;;637.520300000906;;18247.482099998742;;137004
;2;;630.3942999988794;;15772.68279999867;;137004
;3;;727.5031000003219;;20759.544300001115;;136992
;4;;784.9820999987423;;18415.28299999982;;137004
;5;;693.3185000009835;;16995.43769999966;;137004
;6;;609.771099999547;;16778.245199996978;;137004
;7;;649.56780000031;;18320.63280000165;;137004
;8;;813.876599997282;;21144.122400004417;;137004
;9;;726.470600001514;;21861.315600000322;;137004
;10;;661.1601999998093;;21243.937300004065;;137004
1;;6934.564599998295;;189538.68320000544;;1370028;
;1;;735.2111999988556;;12932.894799999893;;137004
;2;;637.2089000009;;11970.075699999928;;137004
;3;;680.0857000015676;;16572.058899998665;;137004
;4;;736.1554999984801;;20098.807400003076;;137004
;5;;750.6223000027239;;14970.750499997288;;137004
;6;;639.848600000143;;21245.268499996513;;136992
;7;;680.6774000003934;;14300.995199996978;;137004
;8;;692.9977000020444;;13602.58749999851;;137004
;9;;714.3733999989927;;18188.67199999839;;137004
;10;;688.2778999991715;;16777.26949999854;;137004
2;;6955.458600003272;;160659.37999998778;;1370028;
;1;;709.7329000011086;;13547.3451000005;;136992
;2;;714.6527999974787;;14949.801600005478;;137004
;3;;737.652000002563;;17744.682500001043;;137004
;4;;850.5826999992132;;19407.7388000004;;136944
;5;;654.3405999988317;;15488.33580000326;;137004
;6;;630.6820000000298;;18752.784699998796;;137004
;7;;621.6822999976575;;21841.795699998736;;137004
;8;;692.4633000008762;;15255.841600000858;;137004
;9;;713.0681999996305;;13277.462100002915;;137004
;10;;663.3836999982595;;19056.45639999956;;136944
3;;6988.240499995649;;169322.24430001155;;1369908;
;1;;675.4087000004947;;15129.306299999356;;137004
;2;;660.5592000000179;;19270.636800002307;;136992
;3;;717.8297000005841;;19774.28830000013;;137004
;4;;697.2615000009537;;15657.58960000053;;137004
;5;;641.7355999983847;;14987.290700003505;;137004
;6;;659.3179000020027;;18764.5968000032;;137004
;7;;654.7813999988139;;20352.041400000453;;137004
;8;;735.1559000015259;;22761.87269999832;;136944
;9;;781.0910000018775;;21398.569099999964;;137004
;10;;676.556400001049;;19193.62369999662;;136992
4;;6899.697300005704;;187289.8154000044;;1369956;
;1;;670.123900000006;;20773.901999998838;;136944
;2;;654.5127000026405;;22466.74400000274;;136992
;3;;726.7991000004113;;11303.960799999535;;137004
;4;;691.8601000010967;;21761.32500000298;;136884
;5;;742.0584000013769;;13807.215900000185;;137004
;6;;689.3288000002503;;11563.495399996638;;137004
;7;;677.0135000012815;;21765.351399999112;;137004
;8;;740.5021999999881;;22396.531799998134;;137004
;9;;801.4314999990165;;21071.891599997878;;137004
;10;;676.5880999974906;;21839.410800002515;;137004
5;;7070.218300003558;;188749.82869999856;;1369848;
;1;;713.5061000026762;;14963.129399999976;;137004
;2;;760.2421000003815;;20253.687099996954;;137004
;3;;679.2311999984086;;16807.612900000066;;136992
;4;;762.339500002563;;21684.598500002176;;137004
;5;;725.0804000012577;;16028.375500001013;;136992
;6;;744.0095000006258;;16793.09549999982;;136932
;7;;695.9794999994338;;13948.138200003654;;137004
;8;;708.5710000023246;;19443.09849999845;;137004
;9;;792.1118000000715;;12845.829600002617;;137004
;10;;733.6788999997079;;15255.280200000852;;137004
6;;7314.750000007451;;168022.84540000558;;1369944;
;1;;722.6710000000894;;12086.496399998665;;137004
;2;;776.3702999986708;;13645.485700003803;;137004
;3;;665.4620999991894;;14357.066399998963;;137004
;4;;697.0381000004709;;12743.721300002187;;137004
;5;;778.2849000021815;;20202.552600000054;;137004
;6;;770.591400001198;;16047.936799999326;;137004
;7;;684.5432000011206;;15641.060499999672;;137004
;8;;739.103900000453;;13742.268100000918;;137004
;9;;709.3368999995291;;11390.78009999916;;137004
;10;;734.9708999991417;;11532.082600001246;;137004
7;;7278.372700002044;;141389.450500004;;1370040;
;1;;680.194699998945;;19870.408100001514;;137004
;2;;686.5815000012517;;11988.690999999642;;137004
;3;;730.3070000000298;;12050.058399997652;;136944
;4;;766.966099999845;;17565.91929999739;;137004
;5;;743.8909000009298;;23153.985399998724;;137004
;6;;774.1722999997437;;23177.2686999999;;136992
;7;;671.3995000012219;;18608.077999997884;;137004
;8;;658.7727999985218;;21817.36880000308;;137004
;9;;748.5960000008345;;18673.336599998176;;137004
;10;;737.1647000014782;;14507.98240000382;;137004
8;;7198.045500002801;;181413.09669999778;;1369968;
;1;;726.5399999991059;;22607.559099998325;;137004
;2;;783.3914999999106;;22970.865299999714;;137004
;3;;834.7013000026345;;23073.421500001103;;136884
;4;;764.3984999991953;;12516.463300000876;;136992
;5;;686.2606999985874;;18892.896200004965;;137004
;6;;706.3585000000894;;19201.48669999838;;137004
;7;;719.4600999988616;;18817.946300003678;;136980
;8;;766.2701000012457;;18192.319699998945;;136992
;9;;784.4422000013292;;13934.392799999565;;137004
;10;;800.2771000005305;;22596.049800001085;;137004
9;;7572.10000000149;;192803.40070000663;;1369872;
;1;;726.0532999970019;;23130.846499998122;;137004
;2;;739.5876999981701;;14317.102099999785;;136944
;3;;771.5196000002325;;12713.7798999995;;137004
;4;;767.4990999996662;;12591.25569999963;;137004
;5;;805.6747000031173;;20377.383000005037;;137004
;6;;749.9479999989271;;19448.468499999493;;137004
;7;;665.6228999979794;;16488.05060000345;;136992
;8;;722.7765000015497;;22710.030999999493;;137004
;9;;821.6887999996543;;17776.31489999965;;137004
;10;;863.3135000020266;;19250.896499998868;;137004
10;;7633.684099998325;;178804.12870000303;;1369968;
