Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;27.808199994266033;18609.192500002682;137004
2;58.84139999747276;14673.453699998558;137004
3;30.081399999558926;14103.25230000168;137004
4;31.304799996316433;16569.90720000118;137004
5;56.259300000965595;19843.680999994278;137004
6;25.55009999871254;22007.00760000199;137004
7;28.984600000083447;17749.011600002646;137004
8;26.33160000294447;20577.19920000434;137004
9;28.55799999833107;13724.354599997401;137004
10;37.11019999533892;12087.300499998033;136992
11;46.134800001978874;23041.153499998152;136944
12;25.307000003755093;12686.440200001001;137004
13;24.79510000348091;14470.873599998653;137004
14;48.63250000029802;16056.615299992263;137004
15;30.40700000524521;13285.737399995327;136944
16;27.396800003945827;12862.277699999511;137004
17;24.239700004458427;20835.624400004745;137004
18;33.188400000333786;23080.24700000137;137004
19;26.84000000357628;15596.852999992669;137004
20;45.178700000047684;22184.267299994826;136944
21;24.33169999718666;12528.278700001538;137004
22;28.314099997282028;15440.999499998987;137004
23;46.26079999655485;23717.39539999515;137004
24;53.642099998891354;12515.642599999905;137004
25;25.331900000572205;14212.964099995792;136944
26;50.86920000612736;16955.05270000547;137004
27;23.805600002408028;16006.189300000668;137004
28;60.016100004315376;20869.462399996817;137004
29;24.47190000116825;14277.66210000217;137004
30;48.3686999976635;18201.42350000143;136992
31;53.40820000320673;13131.110500000417;136992
32;26.652699999511242;21276.967199996114;137004
33;23.401200003921986;21635.44009999931;136992
34;54.97419999539852;21876.00530000031;137004
35;46.43010000139475;13524.105799995363;137004
36;47.5865999981761;22702.62650000304;137004
37;51.19049999862909;17114.079400002956;136944
38;58.389900006353855;23629.785500004888;137004
39;45.36670000106096;13724.784800000489;137004
40;60.555500000715256;12954.099799998105;137004
41;54.450200006365776;12705.583899997175;136992
42;30.84000000357628;21010.189900003374;136992
43;47.61659999936819;17138.130800001323;137004
44;27.14859999716282;17282.771800003946;137004
45;43.01250000298023;23184.45260000229;136944
46;55.879299998283386;16100.958800002933;137004
47;53.374700002372265;21620.298199996352;137004
48;139.23049999773502;16409.455200001597;137004
49;23.16950000077486;17485.316200003028;137004
50;45.849899999797344;21531.857499994338;137004
