1;"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
2;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
3;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";COMPLETE
4;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
5;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
6;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";COMPLETE
7;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
8;"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";"{""Supplier"":""Process details""}";"{""Supplier"":""Process details""}";
9;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";
10;"{""Bulk Buyer"":""Waiting""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Manufacturer"":""Process order""}";"{""Middleman"":{""Establish supplier contact"":""Select supplier"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Middleman"":{""Establish supplier contact"":""Order forwarded"",""Establish special carrier contact"":""Select special carrier""}}";"{""Special Carrier"":""Process order""}";"{""Special Carrier"":""Process order""}";
