Iteration;Step;Non-Finality Latency;Step;Finality Latency;Step;Gas Cost;Step
;1;;34,5984;;20544,2309;;68502
;2;;34,942;;15234,9311;;68466
;3;;66,9373;;12835,7465;;68502
;4;;30,9131;;18636,5511;;68502
;5;;28,5699;;14213,1202;;68502
;6;;26,7556;;13012,4704;;68502
;7;;33,9422;;14786,1206;;68478
;8;;44,6327;;18146,2852;;68478
1;;301,2912;;127409,456;;547932;
;1;;47,0957;;16702,7603;;68502
;2;;41,5949;;23475,6578;;68502
;3;;54,6126;;16177,9206;;68490
;4;;52,2022;;12186,782;;68466
;5;;47,6365;;14982,5753;;68478
;6;;43,0238;;18429,625;;68502
;7;;111,1931;;18899,4245;;68502
;8;;51,4338;;14241,0611;;68502
2;;448,7926;;135095,8066;;547944;
;1;;57,7819;;15389,6838;;68502
;2;;59,7816;;23276,7486;;68502
;3;;59,2184;;14362,1844;;68502
;4;;126,6902;;14538,5242;;68502
;5;;58,0888;;17539,9033;;68502
;6;;61,1479;;17721,8751;;68502
;7;;65,6302;;13642,0104;;68502
;8;;66,6597;;22535,6673;;68502
3;;554,9987;;139006,5971;;548016;
;1;;78,3476;;14683,4047;;68502
;2;;88,0636;;20098,1064;;68478
;3;;87,7318;;15518,8112;;68490
;4;;72,0647;;22950,4231;;68490
;5;;86,6496;;22574,8226;;68502
;6;;82,3104;;14073,712;;68478
;7;;79,8305;;15116,8105;;68478
;8;;86,8235;;23005,8575;;68502
4;;661,8217;;148021,948;;547920;
;1;;87,3889;;21081,9272;;68502
;2;;100,8608;;18752,195;;68502
;3;;87,6497;;21211,2558;;68502
;4;;88,1608;;12172,2257;;68502
;5;;147,3088;;11924,71;;68502
;6;;89,4335;;22364,0273;;68478
;7;;106,6091;;22295,944;;68502
;8;;119,4347;;17227,6763;;68502
5;;826,8463;;147029,9613;;547992;
;1;;106,6841;;22314,1735;;68502
;2;;119,1251;;17626,6314;;68502
;3;;106,5676;;20996,3758;;68502
;4;;107,2514;;20121,8718;;68502
;5;;110,0482;;22704,9579;;68502
;6;;163,104;;12191,4139;;68502
;7;;133,4104;;19379,6928;;68502
;8;;162,0273;;12951,2999;;68490
6;;1008,2181;;148286,417;;548004;
;1;;131,0341;;16493,1715;;68502
;2;;126,2809;;17678,0143;;68502
;3;;122,9059;;14130,9353;;68478
;4;;135,3196;;12497,8833;;68502
;5;;118,2339;;16584,1057;;68490
;6;;126,2998;;15372,53;;68502
;7;;165,4022;;21402,7841;;68502
;8;;148,0169;;18916,9651;;68502
7;;1073,4933;;133076,3893;;547980;
;1;;138,139;;20075,4364;;68502
;2;;139,26;;20637,1419;;68502
;3;;230,8982;;14119,245;;68502
;4;;146,9833;;17118,9358;;68490
;5;;137,8235;;16214,5188;;68502
;6;;145,0643;;18607,9138;;68502
;7;;141,764;;12743,3196;;68502
;8;;208,6334;;19035,2343;;68502
8;;1288,5657;;138551,7456;;548004;
;1;;158,0418;;18802,7873;;68502
;2;;169,8517;;19482,586;;68502
;3;;175,1003;;18175,0336;;68502
;4;;161,9914;;19737,8046;;68502
;5;;157,1128;;16981,2409;;68502
;6;;156,8199;;21488,8122;;68478
;7;;173,1592;;21232,8668;;68502
;8;;233,0723;;17656,5241;;68502
9;;1385,1494;;153557,6555;;547992;
;1;;192,5982;;12428,0676;;68502
;2;;169,7297;;20755,6209;;68502
;3;;220,6532;;23345,5161;;68478
;4;;184,8084;;14176,5126;;68502
;5;;177,364;;12754,4491;;68502
;6;;171,2644;;17710,9598;;68502
;7;;241,4599;;22767,1938;;68502
;8;;215,5901;;20370,1827;;68502
10;;1573,4679;;144308,5026;;547992;
;;912,26449;114,0330612;141434,4479;17679,30599;547977,6;68497,2
;;402,9101351;54,72103455;7731,928014;3412,564424;31,6581743;9,6
