Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;38,3255;20899,3762;136992
2;19,3906;19748,7452;137004
3;16,7754;13387,3331;137004
4;23,0064;19829,8241;137004
5;15,95699999;22478,0612;137004
6;15,0301;17567,3878;137004
7;22,905;23485,7532;136992
8;18,0028;22315,1267;137004
9;17,5076;12188,6406;137004
10;13,96529999;18579,8759;137004
11;15,8878;19192,493;137004
12;16,5118;18928,0691;137004
13;16,5354;14437,5696;137004
14;13,3608;20165,5668;137004
15;33,9241;13492,6867;136944
16;15,53269999;22770,5333;137004
17;20,1853;15980,8554;137004
18;16,4689;16921,1705;137004
19;19,1405;18111,2438;137004
20;21,882;12057,6436;137004
21;22,7107;14406,3427;137004
22;17,07080001;20594,047;137004
23;23,0744;15406,7996;137004
24;16,3118;13604,7919;137004
25;17,5514;22308,5201;137004
26;15,9568;12220,307;137004
27;16,0291;22066,6083;137004
28;15,0972;19653,4784;137004
29;16,4519;15852,5568;137004
30;16,5287;14443,6269;137004
31;23,4399;17586,5361;137004
32;22,17900001;15708,4719;137004
33;23,3468;21556,8822;137004
34;13,72920001;15480,0076;137004
35;16,98270001;22040,8948;136944
36;25,2249;12950,91;137004
37;18,0328;14526,7208;137004
38;15,2282;18704,1633;136992
39;16,90239999;12424,0043;137004
40;14,6347;20610,4205;137004
41;20,80800001;15955,9702;137004
42;16,886;23002,7256;136992
43;17,6347;13953,1352;136944
44;16,4393;20521,2294;137004
45;25,298;14959,5365;137004
46;18,0551;16308,3707;136944
47;16,9137;13349,5779;137004
48;15,5814;13344,7571;137004
49;15,732;19774,3953;137004
50;14,4861;16819,6272;137004
;0,019;17,453;136998,24
;0,005;3,436;16,32
