Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;28,1539;16631,8425;137004
2;52,5873;18919,9776;137004
3;22,7894;14239,0021;137004
4;21,6361;19042,2933;137004
5;25,50470001;23154,3666;137004
6;21,9152;22906,677;137004
7;28,1606;12864,7784;137004
8;26,9815;19032,838;137004
9;26,7526;23220,1202;136944
10;22,223;22810,386;137004
11;20,2768;23374,5043;137004
12;20,504;13183,4689;137004
13;25,0416;19426,9897;137004
14;20,063;20541,9827;136944
15;21,9642;12386,2945;137004
16;24,2957;15333,1464;137004
17;20,0191;12696,5257;137004
18;18,7852;21324,5566;137004
19;19,3187;23043,2744;137004
20;23,4536;22931,8124;136944
21;17,8598;19607,5736;137004
22;20,1535;14082,695;137004
23;17,8417;13690,0203;136944
24;18,45829999;16448,1103;137004
25;26,9967;12179,3773;137004
26;45,4121;22331,8552;137004
27;22,61830001;22109,0332;137004
28;21,9098;12095,642;137004
29;23,7599;20170,7113;136992
30;19,9112;14150,7739;137004
31;26,8249;20879,3513;137004
32;28,961;21084,9567;137004
33;28,324;22263,2186;137004
34;20,9737;21317,3493;137004
35;19,8718;12713,8703;137004
36;20,3417;13712,8744;136944
37;25,5928;12323,6553;137004
38;20,2311;12543,2068;136944
39;25,5938;22221,8344;137004
40;19,3755;20814,2013;137004
41;18,49150001;14119,0207;137004
42;24,5673;20639,2844;137004
43;22,1251;22012,2592;137004
44;19,3484;22223,0012;137004
45;19,3911;19427,1666;137004
46;18,25709999;22005,641;137004
47;19,3737;14947,0797;137004
48;17,6412;21245,1795;137004
49;18,8175;15198,0382;137004
50;17,63609999;19703,0644;136992
;0,023;18,306;136996,32
;0,006;3,946;19,46220954
