Iteration;Non-Finality Latency;Finality Latency;Gas Cost
1;36,2422;15736,7437;136884
2;16,8677;16901,3865;137004
3;20,9753;12088,2548;137004
4;14,9607;23050,6643;137004
5;15,3253;12996,6515;137004
6;13,5564;13244,7978;137004
7;15,0091;22941,8881;136944
8;23,9511;19911,3807;136992
9;14,2373;12765,8366;137004
10;13,6735;14627,5523;137004
11;16,3152;13065,8715;137004
12;14,2479;18152,2294;137004
13;14,9714;12852,9466;136944
14;21,5409;22162,3227;136992
15;15,626;12819,9604;136944
16;23,4921;15318,6633;136944
17;14,8148;20421,1406;137004
18;14,4525;22186,3077;137004
19;25,3591;23965,5714;137004
20;22,4259;20719,4425;137004
21;23,1703;17604,7491;137004
22;16,8852;13750,2882;137004
23;14,338;21819,6755;137004
24;23,0457;16953,8296;137004
25;15,7613;19058,2461;137004
26;15,028;16384,6683;137004
27;23,9812;17881,9324;136932
28;15,0429;14100,4683;137004
29;15,3513;12591,7147;136944
30;14,9571;21921,9517;136992
31;21,8711;18388,7389;136944
32;15,0112;20887,6816;137004
33;14,5613;16580,8575;137004
34;15,2132;15759,883;137004
35;21,4318;22855,0637;137004
36;14,5015;13092,8968;137004
37;22,0384;15632,1665;136944
38;22,384;16962,3398;136932
39;14,8346;23375,0906;137004
40;13,6558;21321,9895;136944
41;22,0814;14391,7568;137004
42;17,8467;16231,3117;137004
43;15,1118;22115,4914;137004
44;16,9769;16248,9109;137004
45;14,2328;22727,3443;137004
46;22,1324;17877,3597;136992
47;15,8068;16154,479;136944
48;27,6194;12321,5528;137004
49;23,012;18156,665;137004
50;24,8011;21326,162;137004
;0,018;17,608;136986,96
;0,005;3,619;29,403
