Iteration;Step;Non-Finality Latency;Step;Finality Latency;Step;Gas Cost;Step
;1;;39,1261;;14612,9688;;137004
;2;;70,76789999;;16693,5361;;137004
;3;;45,9391;;21746,7604;;136932
;4;;40,08500001;;17928,9066;;137004
;5;;48,47559999;;12856,694;;137004
;6;;38,8459;;23061,3414;;137004
;7;;33,49789999;;21139,1539;;137004
;8;;41,1071;;16340,4731;;137004
;9;;53,1239;;12157,0791;;137004
;10;;34,63919999;;20797,2495;;136992
1;;445,6077;;177334,1629;;1369956;
;1;;38,10619999;;13696,9353;;137004
;2;;45,8477;;12196,3975;;136944
;3;;60,6619;;23419,0236;;137004
;4;;40,3689;;22923,5325;;137004
;5;;112,4779;;20894,6007;;137004
;6;;44,68539999;;22735,2855;;137004
;7;;43,1384;;20326,8615;;136992
;8;;45,7762;;13926,2473;;137004
;9;;84,89330001;;18721,3864;;137004
;10;;40,45910001;;13733,9381;;137004
2;;556,415;;182574,2084;;1369968;
;1;;37,91340001;;21674,1098;;137004
;2;;49,89920001;;18012,049;;137004
;3;;48,8044;;19911,4651;;137004
;4;;49,04650001;;16706,1535;;137004
;5;;57,0905;;14211,0632;;137004
;6;;54,5499;;12319,178;;137004
;7;;49,361;;14907,5687;;137004
;8;;62,38510001;;16796,6747;;137004
;9;;53,2589;;17872,8902;;137004
;10;;55,0844;;14454,3502;;137004
3;;517,3933;;166865,5024;;1370040;
;1;;50,58739999;;20907,8849;;137004
;2;;49,22209999;;16432,5766;;136992
;3;;58,0062;;23329,3617;;137004
;4;;56,3924;;22734,3581;;137004
;5;;111,8039;;22217,2012;;137004
;6;;59,3917;;22521,2707;;136992
;7;;52,61399999;;15764,0953;;137004
;8;;76,4912;;23311,0854;;136944
;9;;62,45649999;;21370,1824;;137004
;10;;62,30409999;;18740,6676;;137004
4;;639,2695;;207328,6839;;1369956;
;1;;49,8669;;13738,5631;;137004
;2;;67,75150001;;23755,8658;;137004
;3;;89,6814;;17316,1623;;136992
;4;;65,2316;;19848,0175;;137004
;5;;68,22849999;;19200,5743;;137004
;6;;63,84609999;;12636,8607;;137004
;7;;65,5281;;16908,5138;;137004
;8;;76,18470001;;18863,0147;;137004
;9;;74,868;;14898,8357;;136944
;10;;68,2183;;12580,4559;;137004
5;;689,4051;;169746,8638;;1369968;
;1;;56,1952;;12943,1676;;137004
;2;;71,28120001;;12090,6259;;136944
;3;;72,3238;;22741,0345;;136944
;4;;68,3608;;23413,8367;;137004
;5;;122,6369;;23722,2871;;137004
;6;;66,18349999;;19873,0283;;136992
;7;;105,9304;;16466,2654;;137004
;8;;78,37359999;;14064,5784;;136944
;9;;151,1704;;19458,5449;;136944
;10;;74,9129;;16209,8085;;137004
6;;867,3687;;180983,1773;;1369788;
;1;;65,82879999;;17931,078;;137004
;2;;108,9405;;19983,1298;;137004
;3;;81,52850001;;19803,1505;;136992
;4;;85,0457;;23696,8878;;136932
;5;;78,0257;;15650,2283;;136944
;6;;87,68069999;;21907,8212;;136932
;7;;73,7666;;17295,5017;;137004
;8;;81,02669999;;18222,1843;;137004
;9;;84,2254;;12334,7202;;137004
;10;;87,4429;;22772,8857;;137004
7;;833,5115;;189597,5875;;1369824;
;1;;74,8989;;12579,7433;;137004
;2;;78,27069999;;13112,6763;;137004
;3;;140,6834;;16263,1262;;137004
;4;;98,1692;;13500,2189;;137004
;5;;87,8416;;13312,8055;;137004
;6;;88,1839;;15244,532;;137004
;7;;88,9105;;23526,8584;;136944
;8;;101,5362;;20914,6112;;137004
;9;;87,1523;;12320,1387;;137004
;10;;89,14289999;;16181,2767;;137004
8;;934,7896;;156955,9872;;1369980;
;1;;82,36399999;;21529,4537;;137004
;2;;118,438;;21710,115;;137004
;3;;88,358;;15148,8062;;137004
;4;;158,4832;;18883,894;;137004
;5;;96,50470001;;12496,243;;136944
;6;;201,1565;;12939,2673;;137004
;7;;86,56819999;;15081,4706;;137004
;8;;101,4715;;16445,6632;;137004
;9;;103,6058;;21602,7927;;137004
;10;;92,33220001;;17928,2706;;137004
9;;1129,2821;;173765,9763;;1369980;
;1;;87,2402;;18396,6148;;137004
;2;;104,8076;;13947,5537;;137004
;3;;89,2465;;14426,9207;;137004
;4;;104,4791;;17163,2031;;136992
;5;;172,3431;;22084,7215;;137004
;6;;128,4855;;11958,5125;;137004
;7;;106,0778;;14195,748;;137004
;8;;102,6765;;16952,5019;;137004
;9;;179,4061;;18578,9762;;137004
;10;;170,1011;;22142,6005;;137004
10;;1244,8635;;169847,3529;;1370028;
;;0,786;0,079;177,5;17,75;1369948,8;136994,88
;;0,251;0,033;13,198;3,694;76,687;21,068
